area_sqft,bedroom,bathroom,parking,price,Cluster
1882.375,5,6,4,60000000,0
1369.0,7,4,1,25500000,0
2395.75,5,4,2,55000000,0
1112.3125,4,5,1,22200000,0
1129.425,5,3,1,24000000,0
2395.75,5,6,2,55000000,0
1283.4375,7,6,1,25500000,0
1711.25,0,0,0,2700000,1
1369.0,6,3,1,27500000,0
3422.5,5,4,2,63000000,0
3422.5,0,0,0,3500000,1
5818.25,5,5,0,60000000,0
2053.5,6,4,2,34500000,0
1779.7,3,3,2,39500000,0
3080.25,0,3,3,38000000,0
1796.8125,4,1,0,12000000,1
342.25,0,2,0,8700000,1
1026.75,2,1,1,12500000,1
1026.75,2,1,1,130000,1
1711.25,0,0,0,60000,1
1283.4375,4,4,1,23500000,0
3422.5,4,3,1,60000,0
1197.875,6,4,0,27000000,0
1340.0,4,2,1,15200000,0
1129.425,0,0,0,2650000,1
1026.75,5,5,1,235000000,2
1369.0,7,6,1,27600000,0
7529.5,5,4,10,70000000,5
1540.125,4,4,2,50000000,0
1026.75,4,3,1,22500000,0
1026.75,0,3,1,23500000,1
1026.75,5,5,1,240,0
7529.5,6,7,10,70000000,5
1540.125,5,5,2,500000000,2
7187.25,10,10,5,160000000,2
2053.5,6,6,0,42500000,0
1060.975,5,5,1,18000000,0
1369.0,6,6,2,27500000,0
1711.25,5,3,1,33000000,0
6845.0,5,6,4,145000000,2
7358.375,5,4,9,3700000,5
1369.0,4,5,1,21000000,0
1647.078125,5,4,1,28500000,0
1711.25,4,2,0,17500000,1
1369.0,4,2,1,15500000,0
1369.0,4,2,1,15500000,0
3422.5,0,0,0,3200000,1
10952.0,18,5,0,250000,0
1026.75,0,0,0,3000000,1
1882.375,0,0,0,2300000,1
1400.0,0,0,0,2000000,1
60236.0,0,0,0,400000,3
2909.125,7,6,3,42000000,0
1369.0,18,4,0,300000,0
5476.0,0,0,0,2500000,1
1711.25,0,0,0,4000000,1
790.0,2,1,1,30000,1
1112.3125,4,3,2,19000000,0
1048.140625,3,2,1,21000000,0
1259.0,3,2,0,50000,1
3422.5,0,0,0,200000,1
3422.5,0,0,0,110,1
1369.0,3,4,1,100000,0
6845.0,0,0,0,160,1
2738.0,0,0,0,350000,1
1454.5625,0,0,0,3000000,1
2738.0,4,3,2,200000,0
1779.7,0,0,0,3000000,1
1026.75,0,0,2,150000,1
21904.0,0,0,0,1200000,1
15387.56,0,0,0,250000,1
1026.75,12,0,2,120000,0
2053.5,12,0,3,130000,0
1369.0,8,3,2,150000,0
1369.0,0,0,0,2500000,1
2053.5,4,4,1,150000,0
4791.5,7,8,4,85000000,0
3422.5,0,0,0,13000000,1
1369.0,0,0,0,1050000,1
1369.0,13,0,0,80000,0
2053.5,17,17,0,370000,4
1369.0,0,0,0,2600000,1
2395.75,4,4,2,150000,0
1197.875,8,3,2,17000000,0
1026.75,3,3,1,18500000,0
2395.75,0,0,0,3200000,1
1026.75,4,5,1,17000000,0
65712.0,0,0,0,2500000,3
1369.0,8,6,1,32500000,0
1369.0,5,5,2,29800000,0
1882.375,5,5,1,33500000,0
1711.25,7,6,2,29900000,0
1813.925,6,6,2,49000000,0
1026.75,5,3,1,29900000,0
1026.75,6,6,1,21000000,0
6502.75,6,6,5,100000000,0
2053.5,5,5,1,45000000,0
6502.75,0,0,0,3500000,1
1369.0,6,6,1,33500000,0
1369.0,5,5,1,28500000,0
3764.75,5,5,3,50000000,0
1711.25,5,5,2,35000000,0
2909.125,5,5,2,49000000,0
2395.75,5,5,3,39000000,0
10952.0,0,0,0,6500000,1
1369.0,6,6,1,29000000,0
1711.25,5,5,1,44500000,0
1711.25,0,0,0,5500000,1
2738.0,0,0,0,3700000,1
1403.225,5,5,1,29800000,0
5476.0,0,0,0,5700000,1
1825.3333333333333,0,0,0,1250000,1
1176.484375,0,0,0,2000000,1
1800.0,3,2,1,45000000,0
27380.0,0,0,0,1800000,1
2053.5,0,0,0,2000000,1
10935.0,0,0,0,220000,1
72900.0,0,0,0,200000,3
700.0,2,1,0,15000,1
1369.0,6,5,3,38700000,0
1369.0,6,5,3,39000000,0
1129.425,0,0,0,1200000,1
1625.6875,4,2,1,15000000,0
4962.625,9,6,31,155000000,5
1967.9375,4,3,4,32500000,0
6845.0,4,2,3,90000000,0
1026.75,2,1,1,15000,1
3422.5,5,3,1,150000,0
2053.5,0,0,0,4500000,1
1369.0,6,5,1,21000000,0
1112.3125,5,3,1,21500000,0
1197.875,6,3,1,22500000,0
2395.75,4,4,2,35000000,0
4791.5,5,4,2,60000000,0
3764.75,0,4,0,75000000,0
1711.25,4,3,1,36500000,0
1711.25,4,3,1,37500000,0
3080.25,0,0,0,3800000,1
5476.0,0,0,0,5700000,1
1060.975,4,3,1,25000000,0
2053.5,0,0,0,3500000,1
1369.0,4,3,1,24000000,0
1625.6875,4,3,1,35500000,0
5476.0,4,4,0,110000000,2
1711.25,4,3,2,55000000,0
1882.375,4,4,2,35500000,0
1369.0,4,3,1,29500000,0
2806.45,0,4,3,49500000,0
5920.925,0,4,0,95000000,0
1540.125,4,3,2,28000000,0
2395.75,4,4,3,45000000,0
7187.25,0,4,0,80000000,0
1711.25,4,4,2,35000000,0
4107.0,4,4,4,57500000,0
17797.0,4,4,0,300000000,2
3080.25,4,4,3,55000000,0
3080.25,4,4,4,67500000,0
2738.0,4,3,3,55000000,0
1711.25,6,3,2,35000000,0
2053.5,5,4,2,36000000,0
1369.0,4,3,2,26000000,0
3080.25,5,4,3,47500000,0
1095.2,5,5,1,18200000,0
3422.5,13,5,1,200000,0
1369.0,6,5,1,26000000,0
2395.75,5,5,2,39000000,0
1745.475,0,0,0,2300000,1
2738.0,4,4,1,120000,0
1882.375,5,5,2,33500000,0
2395.75,5,6,2,39900000,0
1259.0,3,2,1,18000000,1
1369.0,8,7,1,32500000,0
1711.25,5,5,2,29000000,0
